filename,bmean_bins0,bmean_bins1,bmean_bins2,bmean_bins3,bmean_bins4,bmean_bins5,bmean_bins6,bmean_bins7,bstd_bins0,bstd_bins1,bstd_bins2,bstd_bins3,bstd_bins4,bstd_bins5,bstd_bins6,bstd_bins7,bskew_bins0,bskew_bins1,bskew_bins2,bskew_bins3,bskew_bins4,bskew_bins5,bskew_bins6,bskew_bins7,bkurto_bins0,bkurto_bins1,bkurto_bins2,bkurto_bins3,bkurto_bins4,bkurto_bins5,bkurto_bins6,bkurto_bins7,class
transformed_image_normal_1.png,80.8761594,170.2664908,0,201.8644031,9.910799013,0,58.43555067,179.9059183,23.2165188,21.8606733,0,6.887574657,15.05909707,0,36.23324597,28.19340877,25.67153649,24.27075707,0,9.587875044,17.35317514,0,39.72539776,30.9217012,27.55668108,26.12511645,0,12.66817677,19.67883334,0,42.32514252,33.02993785,1
transformed_image_normal_2.png,79.90608696,161.0498384,0,200.9405123,2.69325522,0,57.05768322,189.3686595,24.67054328,17.53328778,0,5.543650521,8.017604496,0,35.42392565,27.91120916,27.80887451,19.69102642,0,7.451721486,11.91293412,0,38.72811838,32.45653958,30.42997082,21.41049867,0,9.701043451,16.31160527,0,41.18374191,36.3440602,1
transformed_image_normal_3.png,88.01218068,171.2871186,0,226.8606094,4.127548392,0,49.69567337,202.6249429,25.73956845,19.71477628,0,7.111021128,10.4886319,0,39.83671873,28.20717582,28.76391314,21.80258423,0,10.18650807,13.9296111,0,43.10658534,32.04297751,31.14938502,23.37487532,0,12.93601297,17.18798262,0,45.58070614,35.63183484,1
transformed_image_normal_4.png,89.35794655,171.4260393,0,203.6786713,4.291722424,0,55.81260787,197.2635587,26.15069843,19.20201687,0,8.691625694,9.49275914,0,34.29263803,26.30016304,29.15743347,21.12903601,0,10.13560294,12.58922765,0,38.72167995,29.69319943,31.53789693,22.61415324,0,11.45770786,15.65919337,0,42.08188605,32.84333544,1
transformed_image_normal_5.png,78.72168497,159.537732,0,210.164652,1.654321822,0,53.53912476,188.6457845,25.11351173,17.58771447,0,5.561281493,6.112969146,0,36.88866079,27.75579104,28.46891614,19.59361591,0,8.352535478,9.870040885,0,40.32908322,32.21430004,31.32611295,21.15245919,0,12.28576557,13.34406904,0,42.95634104,36.13928013,1
transformed_image_normal_6.png,85.82985935,161.7890233,0,190.5881219,1.891743119,0,66.02122905,188.2296744,26.90153781,15.9022753,0,5.161016071,6.3536089,0,33.9631962,22.77123005,30.59305526,18.00405653,0,7.112768875,9.66933509,0,37.54907332,26.47350069,33.75162948,19.69160895,0,9.363300117,12.66134579,0,40.25411123,29.71131127,1
transformed_image_normal_7.png,44.35121002,148.8892916,0,199.5706957,0.103032345,0,46.58407824,177.9870071,34.51180201,19.90332282,0,5.733772401,1.585118025,0,30.26076924,34.4849087,36.82603758,23.34737094,0,8.46161888,4.345754478,0,32.87366304,38.34415643,38.46249603,26.22344976,0,11.71182675,7.486748978,0,34.8031587,41.62463408,1
transformed_image_normal_8.png,83.50843143,163.2701874,0,208.4452785,3.381050537,0,58.39156006,192.026681,26.17452387,16.90873961,0,5.00235237,8.845210396,0,37.95363637,25.11993747,29.74252797,18.83694214,0,6.945657636,12.51987902,0,41.56032817,29.01626581,32.66264978,20.3002782,0,9.005839579,16.50676767,0,44.33342408,32.47314649,1
transformed_image_normal_9.png,75.42933914,156.8877766,96.5,193.8932557,2.485790705,0,51.45616438,183.3914286,22.94792268,19.38914517,4.596194078,5.423840284,7.795953428,0,33.78025217,27.89596808,26.03151586,22.30049798,5.159053419,8.136344073,11.5233878,0,36.88862378,31.15468592,28.90935236,24.69927272,5.465826699,11.65353094,14.95219805,0,39.19028456,33.95723855,1
transformed_image_normal_10.png,61.73443329,150.5066843,0,197.0606659,0.296061623,0,56.50108662,184.4384179,32.77922473,16.45532023,0,4.83035506,2.265135124,0,32.49438637,28.13599119,36.66749285,18.51362395,0,6.828377051,4.906909746,0,35.58868157,32.16612176,39.82190545,20.22935868,0,9.294643266,7.661714794,0,37.89167787,35.7010901,1
transformed_image_normal_11.png,95.00100589,174.1224,0,222.321436,8.186277732,0,61.06101274,197.5470716,22.87830226,20.0538891,0,9.63508966,15.96686741,0,39.18465973,26.24073853,25.416616,22.40007789,0,12.13071558,20.17799912,0,42.71794243,29.41753734,27.46497513,24.23480037,0,14.60422357,24.16684196,0,45.34303496,32.23564349,1
