filename,Bins0,Bins1,Bins2,Bins3,Bins4,Bins5,Bins6,Bins7,Class
clean_p_1.jpg,5345,12,0,0,0,58,0,15601,1
clean_p_2.jpg,10935,2,0,0,0,140,0,19707,1
clean_p_3.jpg,5292,2,0,0,26,56,0,15613,1
clean_p_4.jpg,7992,4,0,0,0,225,0,14109,1
clean_p_5.jpg,6318,0,0,0,0,0,0,14164,1
clean_p_6.jpg,7392,23,0,0,0,130,0,16960,1
clean_p_7.jpg,5200,1,0,0,6,102,0,14012,1
clean_p_8.jpg,5400,0,0,0,2,123,0,13571,1
clean_p_9.jpg,5386,13,0,0,0,48,0,12905,1
clean_p_10.jpg,6582,2,0,0,0,130,0,13024,1
clean_p_11.jpg,6904,20,0,0,0,147,0,16645,1
clean_p_12.jpg,9075,0,0,0,0,142,0,14274,1
clean_p_13.jpg,4670,45,0,0,0,112,0,14485,1
clean_p_14.jpg,6636,0,0,0,0,123,0,13777,1
clean_p_15.jpg,6798,0,0,0,0,0,0,15370,1
clean_p_16.jpg,5031,6,0,0,0,167,0,11687,1
clean_p_17.jpg,7894,84,0,0,0,375,0,9735,1
clean_p_18.jpg,8499,0,0,0,0,142,0,14160,1
clean_p_19.jpg,16194,0,0,0,0,108,0,17113,1
clean_p_20.jpg,6234,11,0,0,0,79,0,15499,1
clean_p_21.jpg,4664,0,0,0,15,173,0,14034,1
clean_p_22.jpg,6772,17,0,0,10,555,0,11061,1
clean_p_23.jpg,5135,27,0,0,0,3,0,8750,1
clean_p_24.jpg,5871,0,0,0,0,105,0,13762,1
clean_p_25.jpg,7044,0,0,0,0,5,0,13487,1
clean_p_26.jpg,4830,0,0,0,0,106,0,12336,1
clean_p_27.jpg,6420,0,0,0,0,8,2,5598,1
clean_p_28.jpg,11319,0,0,0,0,113,0,14168,1
clean_p_29.jpg,3722,5,0,0,38,209,0,11012,1
clean_p_30.jpg,7071,0,0,0,0,88,0,9732,1
clean_p_31.jpg,6918,0,0,0,0,176,0,16478,1
clean_p_32.jpg,5001,0,0,0,0,128,0,11111,1
clean_p_33.jpg,6676,0,0,0,1,138,0,12815,1
clean_p_34.jpg,4617,0,0,0,0,138,0,12145,1
clean_p_35.jpg,3299,26,0,0,0,41,0,13090,1
clean_p_36.jpg,6527,15,0,0,0,127,0,15235,1
clean_p_37.jpg,10191,0,0,0,0,119,0,9710,1
clean_p_38.jpg,7662,0,0,0,0,128,0,8666,1
