rskew_bins0,rskew_bins1,rskew_bins2,rskew_bins3,rskew_bins4,rskew_bins5,rskew_bins6,rskew_bins7,class
clean_p_1.jpg,23.976060062098533,2.1269351695150087,0,0,0,6.508755278316944,0,5.6186808734670475,1
clean_p_2.jpg,1.0346530681030606,0.0,0,0,0,10.858411875134477,0,7.816621511410004,1
clean_p_3.jpg,21.611619722614435,0.0,0,0,4.211365586727531,13.669635963661674,0,6.4953283817567256,1
clean_p_4.jpg,0.9980247108536204,2.5198420997897464,0,0,0,10.608701785134754,0,7.213943589737838,1
clean_p_5.jpg,0.9993565585669392,0,0,0,0,0,0,6.315571967971331,1
clean_p_6.jpg,1.0713108895030379,3.9074703425665214,0,0,0,6.539141502257081,0,8.046514510705785,1
clean_p_7.jpg,6.052024995439205,0.0,0,0,3.2579865185944206,7.861342674796305,0,6.4628212294311815,1
clean_p_8.jpg,0.9869109656495588,0,0,0,2.777951840944349,8.521385581230376,0,7.071516820156663,1
clean_p_9.jpg,17.001089676013358,2.344379848915516,0,0,0,6.087495671727902,0,5.759590957095583,1
clean_p_10.jpg,0.979886084865331,1.1905507889761495,0,0,0,9.66011939079097,0,7.279577453297556,1
clean_p_11.jpg,7.5254766955727055,2.0989550183059853,0,0,0,7.834762385818829,0,8.006135063401361,1
clean_p_12.jpg,1.0326659741611603,0,0,0,0,6.780464765136551,0,7.022197671476086,1
clean_p_13.jpg,8.156806118964306,1.7896985486683321,0,0,0,4.905021000225617,0,6.08486124471092,1
clean_p_14.jpg,1.015180314794989,0,0,0,0,11.224275816255636,0,7.718585387189599,1
clean_p_15.jpg,1.0312434724415165,0,0,0,0,0,0,5.9497593620887015,1
clean_p_16.jpg,1.1024620244154624,1.4735122719377463,0,0,0,9.19373764292015,0,6.370682990842166,1
clean_p_17.jpg,5.0461836973479,3.3273921226867524,0,0,0,17.422298136630985,0,8.621757609413214,1
clean_p_18.jpg,0.9782820297836219,0,0,0,0,11.295549264725407,0,6.90552148650797,1
clean_p_19.jpg,0.8470555641131682,0,0,0,0,7.995479038121072,0,7.027402509553605,1
clean_p_20.jpg,8.245605988409128,2.3003898025572207,0,0,0,11.663110470717918,0,6.252230018462599,1
clean_p_21.jpg,8.463642960762431,0,0,0,1.9831446197651608,10.89842224017356,0,6.339672817153187,1
clean_p_22.jpg,7.356076409261668,1.4759322266171744,0,0,5.333153309880357,15.463983139391523,0,7.93462243766122,1
clean_p_23.jpg,8.584900980691476,5.3605826919077995,0,0,0,0.4622408495670931,0,8.906732231376207,1
clean_p_24.jpg,1.1079991826018312,0,0,0,0,8.451617748874963,0,7.0456337035347705,1
clean_p_25.jpg,1.0651716604694026,0,0,0,0,0.8043508128856255,0,6.940814173377618,1
clean_p_26.jpg,1.1477434615528979,0,0,0,0,7.38098716722459,0,6.765782012203485,1
clean_p_27.jpg,1.1855105659796719,0,0,0,0,7.252028545932883,4.762203155904598,9.930683231939645,1
clean_p_28.jpg,0.9299460992227964,0,0,0,0,7.260218594460918,0,6.758590971562011,1
clean_p_29.jpg,17.759443693587446,1.0550278166289382,0,0,6.966748412381758,11.721065443593409,0,8.804943897782772,1
clean_p_30.jpg,0.9360851936440154,0,0,0,0,6.1999747854886555,0,6.123217794977851,1
clean_p_31.jpg,0.9756037510489476,0,0,0,0,8.62803473608623,0,7.50024926194369,1
clean_p_32.jpg,1.0282638853106407,0,0,0,0,8.872576980232342,0,6.315074106719555,1
clean_p_33.jpg,5.043155998884912,0,0,0,0.0,13.242484622321626,0,6.919422010694034,1
clean_p_34.jpg,1.0277322108927247,0,0,0,0,6.1234191861270775,0,7.075712197214403,1
clean_p_35.jpg,31.362254009191755,2.2414792264997185,0,0,0,4.228369856396089,0,5.554377967265966,1
clean_p_36.jpg,6.937106882443869,2.695840212954062,0,0,0,9.61044474182207,0,5.353402890391597,1
clean_p_37.jpg,0.8994708190543605,0,0,0,0,6.286989769330913,0,7.8676022493386535,1
clean_p_38.jpg,1.0030738663806584,0,0,0,0,7.354081554724736,0,8.876510716174009,1
clean_p_39.jpg,0.9485262323007811,0.7937005259840998,0,0,0,8.122868701122865,0,5.300261956381864,1
clean_p_40.jpg,0.9055518070186137,0,0,0,0,12.081122681437085,0,6.002506402476268,1
clean_p_41.jpg,15.454065304819459,3.741079854132575,0,0,0,6.138815917297152,0,5.649845044797652,1
clean_p_42.jpg,1.0187998559520315,2.9055990540299406,0,0,0,7.380320657544981,0,6.040197823906463,1
clean_p_43.jpg,0.8011449588766956,0,0,0,0,4.54941615785474,0,8.96542266343349,1
clean_p_44.jpg,1.0555379321647316,2.481387101240043,0,0,0,9.045394289772226,0,7.592932212253611,1
clean_p_45.jpg,14.82953934412478,3.3402936159461687,0,0,2.7961398420905357,9.470378286531448,0,7.159987690747668,1
clean_p_46.jpg,13.35330364277871,0.7560102351059309,0,0,3.5509480093067007,7.452743588343129,0,7.618748839053802,1
clean_p_47.jpg,1.1774173113143387,0,0,0,0,4.622879821003655,0,8.802166671119315,1
clean_p_48.jpg,20.894374219351942,0,0,0,0.0,8.944752315840216,0,6.22154622304709,1
clean_p_49.jpg,1.1385841533163115,1.0969388123015549,0,0,0,6.219515687915321,0,7.305229588188162,1
clean_p_50.jpg,1.0097220712294925,0,0,0,0,8.929512072610986,0,8.404979404555942,1
clean_p_51.jpg,0.9943669529700663,0,0,0,0,0,0,6.739761694030357,1
clean_p_52.jpg,20.396429523968557,2.2907631340658448,0,0,2.86249493354874,6.0804843401020285,7.286134126474117,6.077807177875837,1
clean_p_53.jpg,1.05914085778625,0,0,0,0,9.323551177841694,0,6.972668507340497,1
clean_p_54.jpg,0.9053854496078033,5.303155950441484,0,0,0,12.032603641328594,0,8.154243747419942,1
clean_p_55.jpg,0.9798886554974334,0,0,0,1.040041911525952,12.90788117249834,0,7.79475062211468,1
clean_p_56.jpg,19.63168068924465,1.9314474406955682,0,0,2.5507750478932643,8.733042750590037,0,6.255831320916344,1
clean_p_57.jpg,13.173568792989997,0.0,0,0,2.1987326275390675,10.729712849963894,0,7.273095360650956,1
clean_p_58.jpg,22.46814761422994,2.217429232545329,0,0,3.0125259425761506,8.202173861489714,0,11.697516488215662,1
clean_p_59.jpg,22.585069070383227,4.091596602123917,0,0,3.5319575129750485,7.184766261741162,0,9.774019143705535,1
clean_p_60.jpg,8.178861261286038,0,0,0,5.03203200621757,10.840552966354519,0,6.4253615148044805,1
clean_p_61.jpg,14.286537269570363,2.2600942974929064,0,0,0,9.2551982915555,3.1748021039363987,9.022988360047249,1
clean_p_62.jpg,1.1591434580483706,0,0,0,0,8.616088727698639,0,9.694687500590486,1
clean_p_63.jpg,29.334458710556774,2.66834874804857,0,0,4.393711594023222,8.271210505634572,0,9.144229772660376,1
clean_p_64.jpg,29.163742220409024,2.2695416173001264,0,0,0,6.589209399697457,0,8.37910161524647,1
clean_p_65.jpg,1.0412585539648358,0,0,0,0,9.68017875853088,1.040041911525952,10.518479269100672,1
clean_p_66.jpg,1.1883868300834612,0,0,0,0,8.933313251390722,0,13.438003027456709,1
clean_p_67.jpg,10.370405108323933,2.27526328932704,0,0,2.1635880009647206,11.98859214317345,0,10.602173388087257,1
clean_p_68.jpg,16.220936186770043,1.451747305359926,0,0,0.6672383984329069,9.756166777528604,0,8.676602466210445,1
clean_p_69.jpg,6.075393629405333,2.9310628665682708,0,0,0.0,9.705587894010108,0,10.129718316456144,1
clean_p_70.jpg,4.407351479932012,1.2816898152970253,0,0,0.0,12.828157467756219,0,8.541049884097982,1
clean_p_71.jpg,15.600983913243494,0,0,0,6.469238565956549,7.851167581898724,0,10.451032439867431,1
clean_p_72.jpg,10.158185591150689,2.6537293393383843,0,0,0,8.541677730435113,0,7.988483774446806,1
clean_p_73.jpg,0.9646866848003699,0,0,0,0,2.323081684327067,0,10.347230425345277,1
clean_p_74.jpg,1.5114370320443837,0,0,0,0,13.613053330167205,0,9.526656263316186,1
clean_p_75.jpg,0.9258011237992819,0,0,0,0,5.6591004465109105,0,10.446218090484994,1
clean_p_76.jpg,8.262038051887815,1.4626177858236942,0,0,6.347041562907848,8.292102401182259,0,9.517713352580778,1
clean_p_77.jpg,9.888525850042587,0.3968502629920499,0,0,4.347323868574902,8.245456863720676,0,8.158141240240296,1
clean_p_78.jpg,0.9627409133853315,0,0,0,0,4.648350265363551,0,7.905477914203908,1
clean_p_79.jpg,25.013028132475092,0.0,0,0,2.047657044008307,9.006677362337882,0,8.149258105093903,1
clean_p_80.jpg,6.789591925851467,3.359040929393212,0,0,0,4.891132185899156,0,9.390477753233988,1
clean_p_81.jpg,12.216932916721268,2.10471628810455,0,0,1.0395661374835632,13.6756178609312,0.0,11.869585751374787,1
clean_p_82.jpg,19.684752608425427,2.9453364048964463,0,0,2.7662852797114437,7.27790267211105,0,9.982585828641062,1
clean_p_83.jpg,7.103311798564528,0,0,0,2.0832888879407068,10.559266060762157,0.7937005259840998,10.745648176883842,1
clean_p_84.jpg,0.9450286126846402,4.701381658785321,0,0,0,10.654785990377787,0,8.057620394752096,1
clean_p_85.jpg,29.61630863164164,3.9221870426079257,0,0,1.1588224520473935,7.423418832378297,0,9.717211970060786,1
clean_p_86.jpg,8.288716361340517,3.2233825942512597,0,0,0,3.6628013093365155,0,6.878761235399097,1
clean_p_87.jpg,1.044676358245874,2.9203965880485083,0,0,0,8.024848989386665,0,6.539742958731912,1
clean_p_88.jpg,18.428729934669906,2.7602538467591553,0,0,0,7.228880670907601,0.0,11.558856062584496,1
clean_p_89.jpg,15.407080058467297,0.0,0,0,4.511095586420212,11.041397380547018,0,9.7525818384467,1
clean_p_90.jpg,7.552761151300531,0,0,0,4.161060820071892,8.852496620166734,0,10.934193297914632,1
clean_p_91.jpg,2.2718759685153174,0,0,0,3.5000419916016865,13.72498399187703,5.159053418896648,9.735455034436752,1
clean_p_92.jpg,13.333442676317485,0.0,0,0,2.917676972142292,7.28010307831379,0,8.358448084800996,1
clean_p_93.jpg,9.812542068616164,0,0,0,5.060232123077478,9.243746676497377,0,8.873733588285017,1
