rskew_bins0,rskew_bins1,rskew_bins2,rskew_bins3,rskew_bins4,rskew_bins5,rskew_bins6,rskew_bins7,class
clean_p_3686.jpg,0.9586807612345052,0,0,0,0.0,10.461738973950625,0,6.871745841265749,1
clean_p_3687.jpg,1.0685126777022778,1.1340153526588945,0,0,0,6.272444503411523,0,6.6332234385781,1
clean_p_3688.jpg,29.14389076112528,1.009256508050756,0,0,1.1307621852550085,8.435841942553857,0,4.6848115504487335,1
clean_p_3689.jpg,16.75158734590341,0.41555257935321976,0,0,0,5.959194243614068,0,7.0322152894404715,1
clean_p_3690.jpg,18.648158515173474,2.6150484656030057,0,0,0,5.571752272522474,0,7.832595649023066,1
clean_p_3691.jpg,1.8208725602034928,0,0,0,0,3.287187560848379,0,6.17904365141159,1
clean_p_3692.jpg,6.356173095714512,1.6486201833210667,0,0,0,7.828698205495999,0,6.862601540486036,1
clean_p_3693.jpg,9.24631699669496,1.2465492789079573,0.0,0,0.3968502629920499,11.09739249324758,2.58024037281293,6.999431841958928,1
clean_p_3694.jpg,18.782797351283378,2.4803172352790264,0,0,0,6.263568274130676,0,5.30496261267789,1
clean_p_3695.jpg,21.87955075137193,1.3834617531918405,0,0,0,4.417117425042441,0,6.67361884752775,1
clean_p_3696.jpg,6.9318712779932286,1.858771930979447,0.0,0,4.644045026038534,16.10935836249482,6.632291878919833,5.778999957491178,1
clean_p_3697.jpg,21.14717423887755,3.0945028021624155,0,0,0,6.731469489947447,0,5.3723630382473,1
clean_p_3698.jpg,14.179286999991147,1.9988547118016895,0,0,0.0,3.211207258006537,0,6.077812017768164,1
clean_p_3699.jpg,22.06751489051738,1.1594142657706852,0,0,0.0,8.125357177419735,0,7.330250607430734,1
clean_p_3700.jpg,1.0397044440069498,1.0649315278487104,0,0,0,6.947995460906014,0,8.231133861557273,1
clean_p_3701.jpg,1.1786906822560603,0,0,0,0,5.209190389336406,0,5.963511694035046,1
clean_p_3702.jpg,3.7598981158630584,0,0,0,0,7.658699804687835,0,9.71347614036488,1
clean_p_3703.jpg,14.436331423154197,2.2478341412770284,0,0,0,7.29708790801428,0,7.73020644813295,1
clean_p_3704.jpg,12.494716680250864,0,0,0,4.544013114369903,8.436030397903526,0,6.486115540627457,1
clean_p_3705.jpg,21.615628286412196,3.200312467209461,0,0,0,6.125940387550046,0,7.518190081264692,1
clean_p_3706.jpg,1.3196257185609788,0,0,0,0,3.967051331440967,0,7.599738224208982,1
clean_p_3707.jpg,1.1854322117235006,0,0,0,0,2.7576798323994867,0,7.969017723444084,1
clean_p_3708.jpg,14.612202420475967,1.854446515738673,0,0,1.6125808185642778,8.645313793779113,0,7.867405953461029,1
clean_p_3709.jpg,1.0324221302577499,3.0558461179469956,0,0,0,9.862897735411781,0,7.712663991113045,1
clean_p_3710.jpg,1.2504673451263602,0,0,0,0,4.889831295903005,0,5.661515098207913,1
clean_p_3711.jpg,23.264954280598733,0.9724300084981752,0,0,2.777718517254276,9.560775449551729,0,9.869825612426684,1
clean_p_3712.jpg,24.028599729098747,2.6605901580621585,0,0,3.6480862134693015,9.260208250819742,0,8.708285539759759,1
clean_p_3713.jpg,1.0575917689192116,1.9668631153373897,0,0,0,5.1628226467261955,0.0,7.16347051568929,1
clean_p_3714.jpg,19.3638077097803,2.9655500738022926,0,0,1.931012396031573,8.390877872018324,7.5111423241975315,9.329706875563929,1
clean_p_3715.jpg,1.3352951885537776,0,0,0,0,8.48030656996857,0,11.711385062327597,1
clean_p_3716.jpg,0.8506455927392972,0,0,0,0,10.966320977752874,0,9.445216641634063,1
clean_p_3717.jpg,0.8724655472038954,0,0,0,0,0,0,9.245729906865508,1
clean_p_3718.jpg,14.259376637273128,0.0,0,0,1.995738445868916,7.520174491712089,0,9.590211827307956,1
clean_p_3719.jpg,1.1365039390727416,0,0,0,0,0,0.0,5.283485293977339,1
clean_p_3720.jpg,0.9372801281778214,0,0,0,0,12.924683755640723,0,8.805622766721857,1
clean_p_3721.jpg,9.29503705982262,2.5823497015833303,0,0,0,6.433281432428261,0,8.87044666613782,1
clean_p_3722.jpg,23.517912203236758,2.320463675012954,0,0,0,2.4746276193563563,0,6.051922522519493,1
clean_p_3723.jpg,1.1917391403584379,0,0,0,0,0,0,7.144513679361041,1
clean_p_3724.jpg,21.97911072900421,1.6378168083626012,0,0,0,5.38274728123782,0,7.056950763637987,1
clean_p_3725.jpg,21.14075173380407,2.4257667999913752,0,0,0.3968502629920499,11.095789829246579,0,7.37724145184893,1
clean_p_3726.jpg,1.0861227347880027,0,0,0,0,5.791309437244205,0,6.729639491642175,1
clean_p_3727.jpg,24.184785270866534,1.5540774058454714,0,0,0,6.351510076970552,0.3968502629920499,6.832031333831761,1
clean_p_3728.jpg,8.017429752361222,1.0615014041627533,0,0,0,7.6631484548537365,0,6.816553002554483,1
clean_p_3729.jpg,1.1463088034868631,0,0,0,0,4.9365618517702154,0.0,5.228709735590551,1
clean_p_3730.jpg,1.2478685275796524,0,0,0,0,5.125447316541327,0,7.585240021801463,1
clean_p_3731.jpg,10.551015781331117,1.656162108795945,0,0,0,11.171654615878257,0,7.569305224591328,1
clean_p_3732.jpg,11.21988240085495,4.102940426432328,0,0,0,8.36558887039361,0.0,8.945083965977682,1
clean_p_3733.jpg,1.106672612530884,0,0,0,0,4.242996348367033,0,5.348130363568122,1
clean_p_3734.jpg,1.2368849131519934,0,0,0,0,5.004220242076477,0,9.27594669620977,1
clean_p_3735.jpg,1.0521117199426768,0,0,0,0,5.498466135441332,0,7.586803930511753,1
clean_p_3736.jpg,1.0973126875013435,0,0,0,0,8.187821032391277,0,8.640646143462908,1
clean_p_3737.jpg,1.046183303711549,1.6490966498019322,0,0,0,8.156756491221296,0,6.798271049659128,1
clean_p_3738.jpg,1.1959655404516114,0.0,0,0,0,10.918292139362514,0,5.906151412524993,1
clean_p_3739.jpg,1.1079112655552537,0.46685341471039715,0,0,0,6.445013433400264,0,4.797010265171243,1
clean_p_3740.jpg,8.982966796032638,1.416762777024266,0,0,0,10.25327412053553,0,6.906475944940176,1
clean_p_3741.jpg,6.74468749475292,1.3552949177021905,0,0,0,10.351358917419562,0,8.113583891240122,1
clean_p_3742.jpg,22.46528352264268,1.1880618728822279,0,0,4.207811719427937,6.3308381686897235,9.28620376279014,8.914517331534869,1
clean_p_3743.jpg,23.054749727486954,0.7547018744646867,0,0,3.223247312301443,4.849009074837709,0,7.030388765134345,1
clean_p_3744.jpg,14.383691826988859,2.0585390784333195,0,0,0,7.501538996013953,0,7.726994762838174,1
clean_p_3745.jpg,9.929527250820374,0.0,0,0,1.75184453200881,10.060988987241274,0,7.699468182343779,1
clean_p_3746.jpg,12.559189902548546,1.2190568080297046,0,0,0,9.980590053044434,0,6.911533686333527,1
clean_p_3747.jpg,1.2229725609088873,0,0,0,1.1696070952851465,7.122683253133382,0,5.47176343235459,1
clean_p_3748.jpg,12.133881856435712,1.7752873490397434,0,0,0,5.413117800813001,0,6.070257553544448,1
clean_p_3749.jpg,1.0973192940533578,0,0,0,0,6.616499595898652,0,7.194558342090623,1
clean_p_3750.jpg,8.673846500473445,0.0,0,0,1.029957767644272,7.376607540424765,0,8.649443990899837,1
clean_p_3751.jpg,6.847358402605185,0,0,0,2.1190346028675404,7.44154153029953,0,6.007476999685577,1
clean_p_3752.jpg,15.3610179215899,0,0,0,3.8229492897385464,11.682199926696018,0,7.938609399013764,1
clean_p_3753.jpg,1.0369157040308001,0.33361919921645206,0,0,0,6.984909613257961,0,5.725561980442715,1
clean_p_3754.jpg,1.0660929136123454,0,0,0,1.6459641163382714,8.161540430657885,0,5.0062315013511425,1
clean_p_3755.jpg,1.0782534809121511,0,0,0,0,8.744514471448552,0,8.183163886148156,1
clean_p_3756.jpg,17.296911521481263,1.367409222225591,0,0,1.2457555472751443,10.874183724891353,0,4.934036920665198,1
clean_p_3757.jpg,30.8071808811991,5.046238697529949,0,0,0,8.034421788902582,0.0,9.855832700533457,1
clean_p_3758.jpg,20.741706333755847,3.2210057059638038,0,0,0,8.397168924539333,0,5.4041230104558,1
clean_p_3759.jpg,11.765913344819579,2.0995783528563825,0,0,0,9.235911886778652,0,7.144550495003208,1
clean_p_3760.jpg,1.037220128707196,1.6164627003441223,0,0,0,3.486624684639851,0,7.78388282377032,1
clean_p_3761.jpg,13.366679278668748,1.22461690204368,0,0,0.0,7.47412873883775,0,6.34254122626695,1
clean_p_3762.jpg,1.1184018211142175,0,0,0,0,9.29704211637122,0,9.201791841472685,1
clean_p_3763.jpg,1.0915226027152385,0.6386284397358675,0,0,2.257784346614394,9.709414171006316,0,7.362358311226546,1
clean_p_3764.jpg,10.998853596127429,0,0,0,1.165910318534634,10.154918001558258,0,5.736878124974368,1
clean_p_3765.jpg,1.0118156716532503,0,0,0,0.0,9.722528107937991,0,9.486899440301103,1
clean_p_3766.jpg,13.910911554264528,2.1565196184827005,0,0,1.5796119126420085,11.358697927051786,0,6.950915666974021,1
clean_p_3767.jpg,1.0622696164456489,0,0,0,0,0,0,6.706244208353864,1
clean_p_3768.jpg,17.309943155740207,1.5880712604964853,0,0,2.663806530904642,10.12994442065643,0,7.203717313905425,1
clean_p_3769.jpg,23.24318837242843,1.381389866976688,0,0,0.9878972812623669,6.036365611851907,0,5.687804115537989,1
