filename,rmean_bins0,rmean_bins1,rmean_bins2,rmean_bins3,rmean_bins4,rmean_bins5,rmean_bins6,rmean_bins7
clean_p_1167.jpg,0.14020752269779507,0,0,0,0,124.98387096774194,0,145.08911826216016
clean_p_1168.jpg,0.19513201320132012,0,0,0,0,112.62616822429906,0,154.30693710216852
clean_p_1169.jpg,0.6433253873659118,98.75,0,0,102.5,113.80597014925372,0,151.53995862386023
clean_p_1170.jpg,0.32986512524084777,0,0,0,117.6842105263158,131.05154639175257,0,152.88866924962443
clean_p_1171.jpg,0.3621799905764096,0,0,0,110.96875,121.85227272727273,0,147.79691583899634
clean_p_1172.jpg,0.4359612036806764,0,0,0,114.44186046511628,127.6625,0,153.50807871569134
clean_p_1173.jpg,0.39419544452608374,112.0,0,0,118.42105263157895,128.56,0,145.39737470167066
clean_p_1174.jpg,0.1937105112004595,103.8,0,0,0,120.5111111111111,0,146.88104307061238
clean_p_1175.jpg,0.15058857306919324,0,0,0,120.0,126.82485875706215,0,151.7001413594063
clean_p_1176.jpg,0.43118766999093383,0,0,0,119.79220779220779,132.2736842105263,0,153.17244543488235
clean_p_1177.jpg,0.18845654993514915,0,0,0,0,124.69565217391305,0,153.1386355960824
clean_p_1178.jpg,0.3317313936874919,100.0,0,0,105.0,124.91578947368421,0,149.84360716491662
clean_p_1179.jpg,1.1593890738202468,103.66666666666667,0,0,110.0,119.28571428571429,0,145.1569086651054
clean_p_1180.jpg,0.34317343173431736,107.75,0,0,0,128.7,0,144.6726559649763
clean_p_1181.jpg,0.6585096305652036,0,0,0,122.88235294117646,133.01075268817203,110.0,149.0059298877972
clean_p_1182.jpg,0.4772030651340996,0,0,0,118.93243243243244,132.01408450704224,0,149.53667953667954
clean_p_1183.jpg,0.5052014827215114,107.0,0,0,109.0,120.88461538461539,0,155.09005539435506
clean_p_1184.jpg,0.1607773851590106,0,0,0,123.25,132.42268041237114,0,148.1698134039969
clean_p_1185.jpg,1.045601173020528,108.25,0,112.66666666666667,122.35714285714286,130.96517412935324,0,152.7055115101729
clean_p_1186.jpg,0.2526539278131635,0,0,0,116.73170731707317,124.18478260869566,0,145.00989399293286
clean_p_1187.jpg,0.6558406603265745,100.0,0,0,110.1875,127.74292452830188,0,145.00178876963759
clean_p_1188.jpg,0.5640790919077261,0,0,0,117.0,123.5703125,0,146.5132366553533
clean_p_1189.jpg,0.3121220089403103,94.2,0,0,103.5,117.22772277227723,0,143.75945748692374
clean_p_1190.jpg,0.22753185781354796,103.83333333333333,0,0,0,120.88235294117646,0,149.81104751396455
