filename,rstd_bins0,rstd_bins1,rstd_bins2,rstd_bins3,rstd_bins4,rstd_bins5,rstd_bins6,rstd_bins7,class
clean_np_9997.jpg,0.5799694463579833,0,0,0,0,0,0,6.936204719934142,0
clean_np_9998.jpg,0.59209327623344,0,0,0,0,0,0,6.065983083208364,0
clean_np_9999.jpg,0.6884869445839418,0,0,0,0,0,0,5.158427165571406,0
clean_np_10000.jpg,0.7017332006524704,0,0,0,0,0,0,4.944242574758301,0
clean_np_10001.jpg,0.5806908044509643,0,0,0,0,0,0,5.148467802362719,0
clean_np_10002.jpg,0.6193034664521698,0,0,0,0,0,0,4.738086587049813,0
clean_np_10003.jpg,4.783755712269982,0,0,0,1.5565422698624305,2.519543870606203,0,7.045720903656621,0
clean_np_10004.jpg,0.6027414975631318,0,0,0,0,0,0,5.425458444908176,0
clean_np_10005.jpg,0.47242285250688654,0,0,0,0,1.3482922552527434,0,6.242317568896528,0
clean_np_10006.jpg,0.634557991066325,0,0,0,0,0,0,10.737724790828223,0
clean_np_10007.jpg,0.6846960010002908,0,0,0,0,0,0,5.482245932585471,0
clean_np_10008.jpg,0.7623055860844347,0,0,0,0,0,0,5.215581195821173,0
clean_np_10009.jpg,0.6267262734664,0,0,0,0,0,0,6.207300735971669,0
clean_np_10010.jpg,0.6687909573157136,0,0,0,0,0,0,6.291869189224247,0
clean_np_10011.jpg,0.7419700920794781,0,0,0,0,0,0,5.094174934050782,0
clean_np_10012.jpg,0.6957398747506287,0,0,0,0,0,0,4.867457607399086,0
clean_np_10013.jpg,0.6396390053734337,0,0,0,0,0,0,4.375611166656213,0
clean_np_10014.jpg,0.7175663068206223,0,0,0,0,0,0,5.842444340914028,0
clean_np_10015.jpg,0.7171907671940161,0,0,0,0,0,0,6.160572539472199,0
clean_np_10016.jpg,0.6456116762369637,0,0,0,0,0,0,8.362526367586852,0
clean_np_10017.jpg,0.6683795242557958,0,0,0,0,0,0,5.883680590207349,0
clean_np_10018.jpg,0.5837387972362524,0,0,0,0,0,0,5.219368727627881,0
clean_np_10019.jpg,0.6307940391724284,0,0,0,0,0,0,5.702447823177808,0
clean_np_10020.jpg,0.6974840030259539,0,0,0,0,0,0,4.975901004035867,0
clean_np_10021.jpg,0.7367105614334308,0,0,0,0,0,0,2.9572045986007605,0
clean_np_10022.jpg,0.7094642895582615,0,0,0,0,0,0,5.941788326247063,0
clean_np_10023.jpg,0.590891925418351,0,0,0,0,0,0,4.2056862268710296,0
clean_np_10024.jpg,0.5782851267159476,0,0,0,0,0,0,4.343928477607771,0
clean_np_10025.jpg,0.47504850090468964,0,0,0,0,0,0,5.279607643292021,0
clean_np_10026.jpg,0.581330843850008,0,0,0,0,0,0,3.5865038085208987,0
clean_np_10027.jpg,0.606488876333016,0,0,0,0,0,0,4.0983395382721035,0
clean_np_10028.jpg,0.635023813953842,0,0,0,0,0,0,4.08919021535868,0
clean_np_10029.jpg,0.6543445826660053,0,0,0,0,0,0,4.889042049085736,0
clean_np_10030.jpg,0.6539809580535714,0,0,0,0,0,0,5.227345882929859,0
clean_np_10031.jpg,0.6441784338505467,0,0,0,0,0,0,3.6895041291818007,0
