filename,bmean_bins0,bmean_bins1,bmean_bins2,bmean_bins3,bmean_bins4,bmean_bins5,bmean_bins6,bmean_bins7,class
clean_p_2098.jpg,2.536900051608464,155.77777777777777,0,0,144.75,171.44444444444446,0,211.35864605325887,1
clean_p_2099.jpg,1.704950891962317,164.4,0,0,0,177.65131578947367,0,212.3995199159853,1
clean_p_2100.jpg,4.13004826009652,163.95833333333334,0,0,157.6,173.88073394495413,0,207.00159562343288,1
clean_p_2101.jpg,3.5675218494502396,159.63333333333333,0,0,0,174.83695652173913,0,201.82229457630024,1
clean_p_2102.jpg,2.210325047801147,165.0,0,0,0,179.8323353293413,0,210.3802587680039,1
clean_p_2103.jpg,4.564406779661017,166.66666666666666,0,0,159.0,178.94957983193277,158.88888888888889,204.71254672673248,1
clean_p_2104.jpg,3.754637436762226,165.53333333333333,0,0,0,177.19148936170214,0,212.7983647351582,1
clean_p_2105.jpg,2.361613641089624,155.71428571428572,0,0,149.4,171.00763358778627,0,209.13225020308693,1
clean_p_2106.jpg,1.9396207584830338,161.79310344827587,0,0,0,179.2394366197183,0,212.86934313110493,1
clean_p_2107.jpg,2.453333333333333,158.88888888888889,0,0,154.0,171.02068965517242,0,207.90686274509804,1
clean_p_2108.jpg,10.03213995117982,170.07692307692307,0,0,159.0,180.95180722891567,0,202.1646535282899,1
clean_p_2109.jpg,2.4523506988564168,0,0,0,159.15384615384616,183.7471264367816,0,212.41578992387306,1
clean_p_2110.jpg,5.212090424180849,161.5897435897436,0,0,143.0,174.192,154.6,203.9416672987939,1
clean_p_2111.jpg,1.649421523684785,0,0,0,0,186.37305699481865,0,214.19483117298768,1
clean_p_2112.jpg,1.7414965986394557,0,0,0,150.4848484848485,172.96694214876032,0,211.88080403500965,1
clean_p_2113.jpg,1.427906254850225,152.5,0,0,145.33333333333334,170.24550898203591,0,211.50415473779765,1
clean_p_2114.jpg,3.34916864608076,161.0,0,0,0,177.02380952380952,0,214.5254795422738,1
clean_p_2115.jpg,1.6247038917089678,159.5,0,0,0,175.78181818181818,0,210.47660717976987,1
clean_p_2116.jpg,1.8388084064476637,163.5,0,0,154.8,174.39864864864865,158.0,212.44165928751448,1
clean_p_2117.jpg,4.334164588528679,169.66666666666666,0,0,156.1,178.84070796460176,164.0,207.06231665036893,1
clean_p_2118.jpg,1.4687997171645748,148.83333333333334,0,0,0,168.71764705882353,0,210.14474650991917,1
