bskew_bins0,bskew_bins1,bskew_bins2,bskew_bins3,bskew_bins4,bskew_bins5,bskew_bins6,bskew_bins7,class
clean_p_1.jpg,32.843446865278615,2.7019544039039047,0,0,0,7.871851957535176,0,7.358842882807263,1
clean_p_2.jpg,5.2770788529022665,0.7937005259840998,0,0,0,13.63685951539667,0,8.430080264329183,1
clean_p_3.jpg,29.4408455495256,0.3968502629920499,0,0,6.863097765918399,11.919440689867772,0,7.949709259221438,1
clean_p_4.jpg,4.902997384947081,2.3902442707141294,0,0,0,11.037377678466655,0,8.98769223637997,1
clean_p_5.jpg,5.1794333972220175,0,0,0,0,0,0,7.204324494416041,1
clean_p_6.jpg,5.41348559072349,4.353738574079011,0,0,0,8.377824580881528,0,8.211373742211803,1
clean_p_7.jpg,9.284651993449044,0.0,0,0,2.6712052341078025,10.57563757274129,0,7.67868346013281,1
clean_p_8.jpg,5.5687440573253095,0,0,0,0.0,10.86455931585485,0,7.5610856315235955,1
clean_p_9.jpg,24.571026859850527,2.443288824461106,0,0,0,7.000714525962807,0,7.989355028603543,1
clean_p_10.jpg,5.3818626972729176,1.1905507889761495,0,0,0,11.090219663231432,0,7.647393449065135,1
clean_p_11.jpg,12.482456975485263,3.0635451327379957,0,0,0,11.338762525170475,0,7.8853480201454165,1
clean_p_12.jpg,5.010934555000597,0,0,0,0,8.33481275507107,0,9.874100753509857,1
clean_p_13.jpg,12.140261101347253,2.98745710306304,0,0,0,7.3325201750858096,0,8.177327877369185,1
clean_p_14.jpg,5.526143826007005,0,0,0,0,13.248681480805859,0,8.634649145574805,1
clean_p_15.jpg,5.725133135483819,0,0,0,0,0,0,7.306615430612295,1
clean_p_16.jpg,6.46712213576329,2.5354666884633015,0,0,0,9.750682554042067,0,9.006919463204344,1
clean_p_17.jpg,9.279094644365689,5.077477732693396,0,0,0,18.356653533217052,0,12.940648624775454,1
clean_p_18.jpg,5.184487996732392,0,0,0,0,13.340762480966859,0,8.866456101384363,1
clean_p_19.jpg,4.444744047941285,0,0,0,0,9.033353442226655,0,9.78274909055299,1
