filename,bskew_bins0,bskew_bins1,bskew_bins2,bskew_bins3,bskew_bins4,bskew_bins5,bskew_bins6,bskew_bins7,class
clean_np_9306.jpg,5.508558647324016,0,0,0,0,0,0,9.360393239785614,1
clean_np_9307.jpg,6.754695646015669,0,0,0,0,0,0,13.466416925077484,1
clean_np_9308.jpg,5.750712116580269,0,0,0,0,0,0,7.634967199519023,1
clean_np_9309.jpg,5.443390297431492,0,0,0,0,0,0,8.405112845143668,1
clean_np_9310.jpg,4.8558449364558385,0,0,0,0,0,0,7.47308144984807,1
clean_np_9311.jpg,4.828993542313401,0,0,0,0,0,0,8.466483584205976,1
clean_np_9312.jpg,5.246849461664204,0,0,0,0,0,0,9.054229067781188,1
clean_np_9313.jpg,5.214540090153177,0,0,0,0,0,0,7.974011289804075,1
clean_np_9314.jpg,5.126598778132872,0,0,0,0,0,0,9.344764169621232,1
clean_np_9315.jpg,4.773279956283348,0,0,0,0,0,0,7.890969607804697,1
clean_np_9316.jpg,4.931519270878198,0,0,0,0,0,0,8.333983994679008,1
clean_np_9317.jpg,4.802071224489082,0,0,0,0,0,0,8.639377376022269,1
clean_np_9318.jpg,6.186477450825359,0,0,0,0,0,0,10.977990338351097,1
clean_np_9319.jpg,16.01550828104019,1.043832530588022,0,0,0,0,0,9.138466478432116,1
clean_np_9320.jpg,6.9767709355876555,0,0,0,0,0,0,8.795413992596048,1
clean_np_9321.jpg,6.604764499762898,0,0,0,0,0,0,8.833834464249508,1
clean_np_9322.jpg,6.631687801039519,0,0,0,0,0,0,9.023019791116365,1
clean_np_9323.jpg,6.523416863772809,0,0,0,0,0,0,8.043362907548783,1
clean_np_9324.jpg,6.478201138695328,0,0,0,0,0,2.660157737255977,10.734967799454655,1
clean_np_9325.jpg,7.494559567408737,0,0,0,0,0,5.9846357719850385,13.007794174597656,1
clean_np_9326.jpg,6.868847630891307,0,0,0,0,0,0.0,10.729135902434646,1
clean_np_9327.jpg,6.587251672639539,0,0,0,0,0,0,8.653324859970937,1
