filename,rmean_bins0,rmean_bins1,rmean_bins2,rmean_bins3,rmean_bins4,rmean_bins5,rmean_bins6,rmean_bins7,class
clean_np_1.jpg,0.20689176,0,0,0,0,0,0,152.19883,0
clean_np_2.jpg,0.217941762,0,0,0,0,0,0,152.6492848,0
clean_np_3.jpg,0.196119196,0,0,0,0,0,0,155.443987,0
clean_np_4.jpg,0.294947507,0,0,0,0,0,0,157.5009814,0
clean_np_5.jpg,0.181544456,0,0,0,0,0,0,155.542019,0
clean_np_6.jpg,0.227504244,0,0,0,0,0,0,151.9918191,0
clean_np_7.jpg,0.195359692,0,0,0,0,0,0,151.3483163,0
clean_np_8.jpg,0.331118494,0,0,0,0,0,0,154.9779161,0
clean_np_9.jpg,0.173687316,0,0,0,0,0,0,149.2908594,0
clean_np_10.jpg,0.222892913,0,0,0,0,0,0,153.3250719,0
clean_np_11.jpg,0.210236476,0,0,0,0,0,0,155.5828729,0
clean_np_12.jpg,0.237248677,0,0,0,0,0,0,147.370295,0
clean_np_13.jpg,0.208115183,0,0,0,0,0,0,144.1728437,0
clean_np_14.jpg,0.236260914,0,0,0,0,0,0,147.2527183,0
clean_np_15.jpg,0.223391198,0,0,0,0,0,0,147.2008634,0
clean_np_16.jpg,0.2,0,0,0,0,0,0,148.0790356,0
clean_np_17.jpg,0.201414037,0,0,0,0,0,0,156.9353656,0
clean_np_18.jpg,0.144677273,0,0,0,0,0,0,151.5628884,0
clean_np_19.jpg,0.161993769,0,0,0,0,0,0,150.7661028,0
clean_np_20.jpg,0.23597263,0,0,0,0,0,0,155.9717113,0
clean_np_21.jpg,0.211009174,0,0,0,0,0,0,151.9409237,0
clean_np_22.jpg,0.131891563,0,0,0,0,0,0,152.4048515,0
clean_np_23.jpg,0.237265638,0,0,0,0,0,0,153.8628996,0
clean_np_24.jpg,0.279710145,0,0,0,0,0,0,158.882314,0
clean_np_25.jpg,0.174896598,0,0,0,0,0,0,148.9688707,0
clean_np_26.jpg,0.131864136,0,0,0,0,0,0,154.1539175,0
clean_np_27.jpg,0.219816273,0,0,0,0,0,0,156.9443485,0
clean_np_28.jpg,0.190188541,0,0,0,0,0,0,154.4079456,0
clean_np_29.jpg,0.225170068,0,0,0,0,0,0,149.0992794,0
clean_np_30.jpg,0.227169656,0,0,0,0,0,0,153.5873334,0
clean_np_31.jpg,0.188096575,0,0,0,0,0,0,148.5520956,0
clean_np_32.jpg,0.198176961,0,0,0,0,0,0,150.7064082,0
clean_np_33.jpg,0.239877301,0,0,0,0,0,0,149.982295,0
clean_np_34.jpg,0.170154933,0,0,0,0,0,0,147.7425618,0
clean_np_35.jpg,0.188513914,0,0,0,0,0,0,149.4164582,0
clean_np_36.jpg,0.202666667,0,0,0,0,0,0,146.3092626,0
clean_np_37.jpg,0.198914729,0,0,0,0,0,0,153.1367233,0
clean_np_38.jpg,0.187100523,0,0,0,0,0,0,154.1839018,0
clean_np_39.jpg,0.140397824,0,0,0,0,0,0,150.1398085,0
clean_np_40.jpg,0.230364195,0,0,0,0,0,0,149.8256685,0
clean_np_41.jpg,0.240532959,0,0,0,0,0,0,149.4077017,0
clean_np_42.jpg,0.223887175,0,0,0,0,0,0,151.7828414,0
clean_np_43.jpg,0.22600823,0,0,0,0,0,0,148.521875,0
clean_np_44.jpg,0.271299568,0,0,0,0,0,0,147.0531872,0
clean_np_45.jpg,0.181453634,0,0,0,0,0,0,154.8598295,0
clean_np_46.jpg,0.143030967,0,0,0,0,0,0,152.3600185,0
