filename,Bins0,Bins1,Bins2,Bins3,Bins4,Bins5,Bins6,Bins7,Class
transformed_image_pneumonia_1.png,6737,9481,6,11792,14531,0,8059,14930,2
transformed_image_pneumonia_2.png,4380,12373,1,12182,15187,0,6696,14717,2
transformed_image_pneumonia_3.png,4833,14515,1,9888,14038,0,8823,13438,2
transformed_image_pneumonia_4.png,6015,16451,3,9306,13060,0,8616,12085,2
transformed_image_pneumonia_5.png,5832,12607,4,11481,13765,0,7330,14517,2
transformed_image_pneumonia_6.png,7002,10734,0,9934,16133,0,8342,13391,2
transformed_image_pneumonia_7.png,6335,10076,0,9836,14512,0,7103,17674,2
transformed_image_pneumonia_8.png,5838,13478,0,10418,14893,0,6613,14296,2
transformed_image_pneumonia_9.png,6840,13685,0,11802,9921,0,6757,16531,2
transformed_image_pneumonia_10.png,5517,13488,0,10715,11853,0,6344,17619,2
transformed_image_pneumonia_11.png,5803,15136,0,10282,10250,0,7106,16959,2
transformed_image_pneumonia_12.png,10662,12930,1,12316,5923,0,4477,19227,2
transformed_image_pneumonia_13.png,6835,15487,5,12100,8209,0,6412,16488,2
transformed_image_pneumonia_14.png,6000,14950,0,11178,9231,0,5488,18689,2
transformed_image_pneumonia_15 (1).png,8763,14462,1,12310,6564,0,5753,17683,2
transformed_image_pneumonia_15.png,8763,14462,1,12310,6564,0,5753,17683,2
transformed_image_pneumonia_16.png,7030,13467,1,10349,11862,0,9573,13254,2
transformed_image_pneumonia_17.png,8641,13349,2,13823,7223,0,6330,16168,2
transformed_image_pneumonia_18.png,7156,15227,0,12175,7719,0,6086,17173,2
transformed_image_pneumonia_19.png,6529,17057,0,9306,7941,0,6590,18113,2
transformed_image_pneumonia_20.png,7115,8518,1,10764,14515,0,9427,15196,2
transformed_image_pneumonia_21.png,6611,10107,0,10501,15156,0,8298,14863,2
transformed_image_pneumonia_22.png,6035,9602,0,11720,15195,0,7018,15966,2
transformed_image_pneumonia_23.png,6147,16878,0,9399,9355,0,7968,15789,2
transformed_image_pneumonia_24.png,5978,17775,30,7533,8679,0,7731,17810,2
transformed_image_pneumonia_25.png,6346,14286,5,9128,10405,0,8722,16644,2
transformed_image_pneumonia_26.png,5276,17103,1,10662,8291,0,9397,14806,2
transformed_image_pneumonia_27.png,6264,13850,0,10510,9769,0,9090,16053,2
transformed_image_pneumonia_28.png,6077,13454,0,9885,13178,0,7959,14983,2
transformed_image_pneumonia_29.png,6182,13622,4,12641,10106,0,6141,16840,2
transformed_image_pneumonia_30.png,5350,15783,21,9425,9637,0,7858,17462,2
transformed_image_pneumonia_31.png,4787,17667,13,7004,9742,0,8123,18200,2
transformed_image_pneumonia_32.png,5866,11284,0,11462,15700,0,7562,13662,2
transformed_image_pneumonia_33.png,4891,16307,7,9001,9947,0,7450,17933,2
transformed_image_pneumonia_34.png,5925,10521,1,11331,14902,0,7241,15615,2
transformed_image_pneumonia_35.png,12155,14600,0,13294,3299,0,10087,12101,2
transformed_image_pneumonia_36.png,4554,17046,1,9869,9616,0,7594,16856,2
transformed_image_pneumonia_37.png,7365,16505,0,10649,6802,0,7403,16812,2
transformed_image_pneumonia_38.png,4980,18721,12,8331,7670,0,8680,17142,2
transformed_image_pneumonia_39.png,10238,16727,0,6923,5442,1,5116,21089,2
transformed_image_pneumonia_40.png,11940,10778,1,14713,7476,2,8853,11773,2
transformed_image_pneumonia_41.png,6877,8650,0,14666,12471,0,8921,13951,2
transformed_image_pneumonia_42.png,8616,9417,0,9473,15751,0,7700,14579,2
transformed_image_pneumonia_43.png,5924,14545,4,10705,10137,0,7130,17091,2
transformed_image_pneumonia_44.png,7278,12325,22,12991,9523,0,8729,14668,2
transformed_image_pneumonia_45.png,5490,15776,5,9746,9771,0,6824,17924,2
transformed_image_pneumonia_46.png,6304,17482,5,8460,7192,0,9506,16587,2
transformed_image_pneumonia_47.png,3121,21569,1,6018,9610,0,9194,16023,2
transformed_image_pneumonia_48.png,6135,14044,1,11667,9187,0,12115,12387,2
transformed_image_pneumonia_49.png,9908,10145,11,13576,10557,0,10393,10946,2
transformed_image_pneumonia_50.png,10080,10809,0,13456,9510,1,9751,11929,2
transformed_image_pneumonia_51.png,5105,16164,9,10066,9536,0,6267,18389,2
transformed_image_pneumonia_52.png,5681,19124,26,7298,6666,0,6959,19782,2
transformed_image_pneumonia_53.png,4673,16505,5,7153,14908,1,9097,13194,2
transformed_image_pneumonia_54.png,6771,16018,1,10884,8801,1,8262,14798,2
transformed_image_pneumonia_55.png,5309,13763,1,11368,13212,0,8828,13055,2
transformed_image_pneumonia_56.png,5359,15495,0,11498,11888,0,8086,13210,2
transformed_image_pneumonia_57.png,7217,10090,36,9803,15011,0,9245,14134,2
transformed_image_pneumonia_58.png,6676,12783,3,10021,11209,0,6693,18151,2
transformed_image_pneumonia_59.png,5794,11483,3,12018,13383,0,7205,15650,2
transformed_image_pneumonia_60.png,8121,14772,2,10794,10368,1,8687,12791,2
transformed_image_pneumonia_61.png,6083,11161,1,11707,13581,0,8500,14503,2
transformed_image_pneumonia_62.png,6637,9959,0,12259,13860,0,7611,15210,2
transformed_image_pneumonia_63.png,4835,17472,0,7901,14179,0,8246,12903,2
transformed_image_pneumonia_64.png,7777,8968,3,13861,13735,0,5772,15420,2
transformed_image_pneumonia_65.png,7221,10126,7,7831,16552,0,5188,18611,2
transformed_image_pneumonia_66.png,5920,11134,6,8593,14125,0,6895,18863,2
transformed_image_pneumonia_67.png,6444,8160,16,13643,15622,0,5121,16530,2
transformed_image_pneumonia_68.png,5708,17998,0,8477,10015,2,10366,12970,2
transformed_image_pneumonia_69.png,6605,10598,3,13557,12901,0,7842,14030,2
transformed_image_pneumonia_70.png,6403,9907,3,12315,15435,0,5993,15480,2
transformed_image_pneumonia_71.png,5763,15252,2,11841,8911,0,7168,16599,2
transformed_image_pneumonia_72.png,5773,11344,9,10163,13521,0,7506,17220,2
transformed_image_pneumonia_73.png,6764,8952,12,13409,13775,0,4898,17726,2
transformed_image_pneumonia_74.png,6423,8947,22,12775,14897,0,5479,16993,2
transformed_image_pneumonia_75.png,6423,8947,22,12775,14897,0,5479,16993,2
transformed_image_pneumonia_76.png,7395,9075,22,9274,15110,0,6834,17826,2
transformed_image_pneumonia_77.png,7794,9494,21,11099,12556,0,5040,19532,2
transformed_image_pneumonia_78.png,6024,12764,3,12004,13366,0,5486,15889,2
transformed_image_pneumonia_79.png,7365,14776,0,11017,11004,2,7676,13696,2
transformed_image_pneumonia_80.png,6143,17407,2,10365,7463,0,6777,17379,2
transformed_image_pneumonia_81.png,7000,14163,6,10565,11394,0,8813,13595,2
transformed_image_pneumonia_82.png,5200,12962,5,11382,12321,0,8083,15583,2
transformed_image_pneumonia_83.png,10720,7368,1,11618,14130,0,7929,13770,2
transformed_image_pneumonia_84.png,4939,19293,4,7225,8974,0,8036,17065,2
transformed_image_pneumonia_85.png,5033,13057,2,11637,13864,1,6906,15036,2
transformed_image_pneumonia_86.png,8129,14477,0,10316,9161,2,10399,13052,2
transformed_image_pneumonia_87.png,6698,9564,2,11535,14383,0,6913,16441,2
transformed_image_pneumonia_88.png,5946,9392,0,13744,14853,0,7030,14571,2
transformed_image_pneumonia_89.png,6734,10755,4,8651,14234,0,6810,18348,2
transformed_image_pneumonia_90.png,5173,12006,0,11431,13230,0,6504,17192,2
transformed_image_pneumonia_91.png,7194,15964,1,8992,11865,0,9065,12455,2
