filename,gmean_bins0,gmean_bins1,gmean_bins2,gmean_bins3,gmean_bins4,gmean_bins5,gmean_bins6,gmean_bins7,class
clean_p_1.jpg,0.860991581,80.66666667,0,0,0,98.75862069,0,159.2297289,1
clean_p_2.jpg,0.271604938,89.5,0,0,0,62.26428571,0,156.332014,1
clean_p_3.jpg,0.852418745,105,0,0,39.76923077,96.89285714,0,159.6628451,1
clean_p_4.jpg,0.198073073,74,0,0,0,72.15111111,0,163.3755759,1
clean_p_5.jpg,0.24232352,0,0,0,0,0,0,164.0247811,1
clean_p_6.jpg,0.242830087,69.91304348,0,0,0,89.22307692,0,157.5087854,1
clean_p_7.jpg,0.286153846,91,0,0,51,71.3627451,0,155.8126606,1
clean_p_8.jpg,0.294259259,0,0,0,17.5,66.82926829,0,158.0254955,1
clean_p_9.jpg,0.641106573,83.46153846,0,0,0,101.1875,0,159.9770632,1
clean_p_10.jpg,0.250987542,73.5,0,0,0,55.23076923,0,154.849355,1
clean_p_11.jpg,0.322566628,78.9,0,0,0,79.72108844,0,149.7197357,1
clean_p_12.jpg,0.293553719,0,0,0,0,55.5,0,154.8893092,1
clean_p_13.jpg,0.331691649,86.33333333,0,0,0,99.24107143,0,152.1636866,1
clean_p_14.jpg,0.254671489,0,0,0,0,46.07317073,0,150.1972127,1
clean_p_15.jpg,0.245954693,0,0,0,0,0,0,157.7910215,1
clean_p_16.jpg,0.337109919,88,0,0,0,69.35329341,0,149.2117738,1
clean_p_17.jpg,0.218520395,28.42857143,0,0,0,61.42666667,0,136.9803801,1
clean_p_18.jpg,0.24026356,0,0,0,0,69.48591549,0,160.035452,1
clean_p_19.jpg,0.159318266,0,0,0,0,46.41666667,0,159.1400105,1
clean_p_20.jpg,0.303657363,71.45454545,0,0,0,82.64556962,0,163.5668753,1
clean_p_21.jpg,0.361277873,0,0,0,48.33333333,73.3583815,0,158.6602537,1
clean_p_22.jpg,0.314235086,44,0,0,54.3,72.31171171,0,150.8114999,1
clean_p_23.jpg,0.327361246,84.81481481,0,0,0,97.66666667,0,156.7926857,1
clean_p_24.jpg,0.295520354,0,0,0,0,68.2,0,156.3918762,1
clean_p_25.jpg,0.261783078,0,0,0,0,96.8,0,147.5215393,1
clean_p_26.jpg,0.328364389,0,0,0,0,72.86792453,0,152.6482652,1
clean_p_27.jpg,0.22258567,0,0,0,0,64.25,83,142.4817792,1
clean_p_28.jpg,0.181023059,0,0,0,0,55.2300885,0,158.4196781,1
clean_p_29.jpg,0.517195056,101,0,0,23.44736842,65.82296651,0,153.3217399,1
clean_p_30.jpg,0.235610239,0,0,0,0,72.17045455,0,151.1388204,1
clean_p_31.jpg,0.262503614,0,0,0,0,54.28409091,0,155.8195169,1
clean_p_32.jpg,0.285742851,0,0,0,0,61.3828125,0,159.6461165,1
clean_p_33.jpg,0.267225884,0,0,0,33,53.08695652,0,150.9885291,1
clean_p_34.jpg,0.29716266,0,0,0,0,74.2173913,0,149.2049403,1
clean_p_35.jpg,2.311306457,104.9230769,0,0,0,118.6341463,0,159.9687548,1
clean_p_36.jpg,0.252796078,60.4,0,0,0,83.64566929,0,159.4080079,1
clean_p_37.jpg,0.162103817,0,0,0,0,46.78991597,0,141.8,1
clean_p_38.jpg,0.228008353,0,0,0,0,45.109375,0,146.105585,1
clean_p_39.jpg,0.248092607,80,0,0,0,82.7627907,0,156.5971465,1
clean_p_40.jpg,0.200852037,0,0,0,0,49.61016949,0,157.5636549,1
