filename,gmean_bins0,gmean_bins1,gmean_bins2,gmean_bins3,gmean_bins4,gmean_bins5,gmean_bins6,gmean_bins7,class
clean_np_10307.jpg,0.2878179384203481,0,0,0,0,0,0,156.26695886716115,0
clean_np_10308.jpg,0.2610238215914851,0,0,0,0,0,0,164.15002824061,0
clean_np_10309.jpg,0.24105650284185892,0,0,0,0,0,0,158.84198405668732,0
clean_np_10310.jpg,0.17938115912066707,0,0,0,0,0,0,158.01378875901167,0
clean_np_10311.jpg,0.27468933943754087,0,0,0,0,0,0,151.0619083680424,0
clean_np_10312.jpg,0.26014731233349003,0,0,0,0,0,0,159.81408208405014,0
clean_np_10313.jpg,0.22953625894802365,0,0,0,0,0,0,163.18803182289864,0
clean_np_10314.jpg,0.19966421283740152,0,0,0,0,0,0,159.45991040706355,0
clean_np_10315.jpg,0.2693527326991233,0,0,0,0,0,0,158.6279836570855,0
clean_np_10316.jpg,0.213768115942029,0,0,0,0,0,0,157.75758867667122,0
clean_np_10317.jpg,0.22507610350076104,0,0,0,0,0,0,168.58742700103056,0
clean_np_10318.jpg,0.2510510510510511,0,0,0,0,0,0,156.3191723959009,0
clean_np_10319.jpg,0.2684185828249648,0,0,0,0,0,0,167.4522083426277,0
clean_np_10320.jpg,0.22895451459606245,0,0,0,0,0,0,153.28586723768737,0
clean_np_10321.jpg,0.24807171148634563,0,0,0,0,0,0,155.73491005387635,0
clean_np_10322.jpg,0.30699730872741254,0,0,0,0,0,0,162.34296977660972,0
clean_np_10323.jpg,0.25840421223167276,0,0,0,0,0,0,163.58404303003138,0
clean_np_10324.jpg,0.24681277753903452,0,0,0,0,0,0,156.20145190562613,0
clean_np_10325.jpg,0.37449467107681,0,0,0,0,0,0,142.44272753047917,0
clean_np_10326.jpg,0.2881297446514838,0,0,0,0,0,0,160.152625250501,0
clean_np_10327.jpg,0.3197879858657244,0,0,0,0,0,0,162.3512282535653,0
clean_np_10328.jpg,0.3548490687219011,0,0,0,0,0,0,168.31637466307276,0
clean_np_10329.jpg,0.30455635491606714,0,0,0,0,0,0,156.21876231769807,0
clean_np_10330.jpg,0.22762299940723177,0,0,0,0,0,0,162.3964474960818,0
clean_np_10331.jpg,0.3297716320972135,0,0,0,0,0,0,155.10811962170914,0
clean_np_10332.jpg,0.30809002433090027,0,0,0,0,0,0,153.38492450073065,0
clean_np_10333.jpg,0.30990415335463256,0,0,0,0,0,0,155.63278799694837,0
clean_np_10334.jpg,0.27979087795204616,0,0,0,0,0,0,157.2307639649507,0
clean_np_10335.jpg,0.3078049801213643,0,0,0,0,0,0,155.76358135057077,0
clean_np_10336.jpg,0.29030797101449274,0,0,0,0,0,0,155.18875701798024,0
