filename,gkurto_bins0,gkurto_bins1,gkurto_bins2,gkurto_bins3,gkurto_bins4,gkurto_bins5,gkurto_bins6,gkurto_bins7,class
clean_np_1.jpg,1.4639068090176761,0,0,0,0,0,0,6.3862866250445345,0
clean_np_2.jpg,1.6123847861207665,0,0,0,0,0,0,7.160829939488556,0
clean_np_3.jpg,1.5672179498807877,0,0,0,0,0,0,5.375485275625502,0
clean_np_4.jpg,1.6215167884192276,0,0,0,0,0,0,5.148506903179574,0
clean_np_5.jpg,1.4077847973968904,0,0,0,0,0,0,6.174895159180714,0
clean_np_6.jpg,1.5751660682325135,0,0,0,0,0,0,7.912598308898187,0
clean_np_7.jpg,1.5185103451705486,0,0,0,0,0,0,5.67382371186402,0
clean_np_8.jpg,1.5886782794791272,0,0,0,0,0,0,7.876259715914091,0
clean_np_9.jpg,1.5170084423799024,0,0,0,0,0,0,6.566519892707435,0
clean_np_10.jpg,1.6161222538235973,0,0,0,0,0,0,4.1907262406310934,0
clean_np_11.jpg,1.4927402245462567,0,0,0,0,0,0,5.7158240401914195,0
clean_np_12.jpg,1.498581680290028,0,0,0,0,0,0,6.853880188135849,0
clean_np_13.jpg,1.5743315293504943,0,0,0,0,0,0,7.252149984199438,0
clean_np_14.jpg,1.5888183275691647,0,0,0,0,0,0,6.0023237153321185,0
clean_np_15.jpg,1.4982164245207297,0,0,0,0,0,0,8.793468937233285,0
clean_np_16.jpg,1.4355182216924276,0,0,0,0,0,0,6.254569783135402,0
clean_np_17.jpg,1.6173646883307449,0,0,0,0,0,0,5.314640133955291,0
clean_np_18.jpg,1.4359705165193362,0,0,0,0,0,0,6.0107943288512296,0
clean_np_19.jpg,1.4752936799457537,0,0,0,0,0,0,4.853739308251733,0
clean_np_20.jpg,1.608123966284107,0,0,0,0,0,0,4.534915802796436,0
clean_np_21.jpg,1.5523749508264777,0,0,0,0,0,0,5.833542062168206,0
clean_np_22.jpg,1.3928289378343985,0,0,0,0,0,0,6.7616890353795,0
clean_np_23.jpg,1.5183971476870453,0,0,0,0,0,0,6.57952374895658,0
clean_np_24.jpg,1.5186375819281799,0,0,0,0,0,0,4.547231532202657,0
clean_np_25.jpg,1.5299853911335375,0,0,0,0,0,0,7.8684226707719835,0
clean_np_26.jpg,1.3882990481063107,0,0,0,0,0,0,10.147523553858383,0
clean_np_27.jpg,1.5991926611181857,0,0,0,0,0,0,7.969469257233824,0
clean_np_28.jpg,1.5884516038485674,0,0,0,0,0,0,4.456078855334818,0
clean_np_29.jpg,1.545563088785894,0,0,0,0,0,0,7.945578691910183,0
clean_np_30.jpg,1.4773094803408993,0,0,0,0,0,0,5.805705850015744,0
clean_np_31.jpg,1.4696792371618368,0,0,0,0,0,0,6.651187615981612,0
clean_np_32.jpg,1.5102554569669535,0,0,0,0,0,0,9.35287735849332,0
clean_np_33.jpg,1.6627123579083074,0,0,0,0,0,0,6.695092836199885,0
clean_np_34.jpg,1.4513423200099917,0,0,0,0,0,0,7.06374000927683,0
clean_np_35.jpg,1.5415082065717236,0,0,0,0,0,0,6.875148428723573,0
clean_np_36.jpg,1.5905382565439103,0,0,0,0,0,0,6.807629904182874,0
clean_np_37.jpg,1.449412392293873,0,0,0,0,0,0,6.242036497560737,0
