filename,bkurto_bins0,bkurto_bins1,bkurto_bins2,bkurto_bins3,bkurto_bins4,bkurto_bins5,bkurto_bins6,bkurto_bins7,class
clean_p_1.jpg,47.62159049,3.092351256,0,0,0,8.421707224,0,9.181034714,1
clean_p_2.jpg,7.15442942,0.840896415,0,0,0,15.02903901,0,10.51698979,1
clean_p_3.jpg,43.39423956,0.420448208,0,0,7.701831512,13.59931894,0,10.35445268,1
clean_p_4.jpg,6.601181872,2.619224843,0,0,0,12.78728002,0,10.94341813,1
clean_p_5.jpg,6.869720453,0,0,0,0,0,0,8.924784565,1
clean_p_6.jpg,7.290218275,4.687245093,0,0,0,9.160430972,0,10.11917313,1
clean_p_7.jpg,17.56052692,0,0,0,2.866241317,11.63295442,0,10.08305382,1
clean_p_8.jpg,7.357236622,0,0,0,0,11.98987938,0,9.604297435,1
clean_p_9.jpg,37.9763316,2.584322107,0,0,0,7.491631225,0,9.904510276,1
clean_p_10.jpg,7.268870223,1.261344623,0,0,0,12.14413764,0,9.57807458,1
clean_p_11.jpg,22.5421661,3.351712567,0,0,0,12.3723894,0,10.29934059,1
clean_p_12.jpg,6.782686107,0,0,0,0,9.662623515,0,12.49573609,1
clean_p_13.jpg,22.19048401,3.237241938,0,0,0,8.050834395,0,10.76802718,1
clean_p_14.jpg,7.323482829,0,0,0,0,14.45461721,0,10.97708701,1
clean_p_15.jpg,7.770611724,0,0,0,0,0,0,9.524897857,1
clean_p_16.jpg,8.588501583,2.701321334,0,0,0,10.77042361,0,11.63685444,1
clean_p_17.jpg,16.31880593,5.506562484,0,0,0,19.46988445,0,15.79089729,1
clean_p_18.jpg,7.100972571,0,0,0,0,15.32751947,0,10.97371233,1
clean_p_19.jpg,6.212910459,0,0,0,0,9.990814859,0,12.52730009,1
clean_p_20.jpg,22.27038631,3.660006721,0,0,0,12.89488697,0,10.63124787,1
clean_p_21.jpg,21.65892693,0,0,0,2.826510547,15.78660981,0,10.50463892,1
clean_p_22.jpg,15.65768364,1.941097689,0,0,5.739276654,17.05731846,0,13.48560486,1
clean_p_23.jpg,23.60650389,7.70685983,0,0,0,0.506557124,0,15.07241238,1
clean_p_24.jpg,7.43519829,0,0,0,0,11.05810754,0,10.72896891,1
clean_p_25.jpg,7.570442441,0,0,0,0,0.44890181,0,10.7446062,1
clean_p_26.jpg,7.875564745,0,0,0,0,6.638697002,0,11.72015547,1
clean_p_27.jpg,7.598530549,0,0,0,0,15.97470462,5.045378492,20.88476518,1
clean_p_28.jpg,6.539989177,0,0,0,0,11.47456147,0,13.62969983,1
clean_p_29.jpg,38.25741203,1.449343008,0,0,4.162378384,16.3631748,0,10.47989158,1
clean_p_30.jpg,7.003901863,0,0,0,0,7.347300434,0,13.58217821,1
clean_p_31.jpg,6.717951599,0,0,0,0,13.01340339,0,8.837602105,1
clean_p_32.jpg,7.372722414,0,0,0,0,12.3658518,0,10.69575769,1
clean_p_33.jpg,14.91627841,0,0,0,0,17.4400801,0,13.84370087,1
clean_p_34.jpg,8.986662549,0,0,0,0,7.933596629,0,10.77490847,1
clean_p_35.jpg,60.25009186,5.429978773,0,0,0,5.394695235,0,8.999561843,1
clean_p_36.jpg,19.20357787,3.262840779,0,0,0,11.0391643,0,9.642735936,1
clean_p_37.jpg,6.703196871,0,0,0,0,6.579244035,0,16.78277429,1
clean_p_38.jpg,7.410741515,0,0,0,0,10.60981439,0,19.58690933,1
clean_p_39.jpg,6.929845549,0.420448208,0,0,0,12.08849275,0,11.15392175,1
clean_p_40.jpg,6.445760142,0,0,0,0,16.55051513,0,9.408449452,1
clean_p_41.jpg,35.64474901,5.157493484,0,0,0,7.918818859,0,8.951604308,1
clean_p_42.jpg,7.680799991,4.09286994,0,0,0,9.919413762,0,11.0475335,1
clean_p_43.jpg,5.58649443,0,0,0,0,5.019461237,0,13.62587785,1
clean_p_44.jpg,7.540786121,2.100105439,0,0,0,11.89051069,0,10.89080263,1
clean_p_45.jpg,32.74580907,1.065756077,0,0,3.834208612,11.90320322,0,10.80231538,1
clean_p_46.jpg,29.55216081,0.794861323,0,0,4.687210012,13.02730022,0,9.787891757,1
clean_p_47.jpg,6.534462859,0,0,0,0,5.959289124,0,16.42825076,1
clean_p_48.jpg,41.45058516,0,0,0,0.840896415,11.41691109,0,10.12791631,1
clean_p_49.jpg,7.565874325,1.367853903,0,0,0,8.428704111,0,10.00991308,1
clean_p_50.jpg,7.601041696,0,0,0,0,13.33060289,0,13.73472315,1
clean_p_51.jpg,7.276026504,0,0,0,0,0,0,12.80534627,1
clean_p_52.jpg,40.51540481,3.552825262,0,0,6.484411475,8.079005891,4.986518928,13.10621143,1
clean_p_53.jpg,7.181621557,0,0,0,0,12.97527503,0,9.40445206,1
clean_p_54.jpg,6.872582345,5.810219489,0,0,0,14.74637027,0,12.84731591,1
clean_p_55.jpg,6.91749613,0,0,0,2.77736163,18.6953221,0,10.850583,1
clean_p_56.jpg,41.33922502,3.016008785,0,0,1.945179536,13.29788893,0,9.319632591,1
clean_p_57.jpg,29.85310395,0,0,0,1.238256846,14.53554704,0,8.387710758,1
clean_p_58.jpg,46.12334288,4.243471506,0,0,3.04809939,12.05958275,0,11.82692865,1
clean_p_59.jpg,46.325688,5.152308006,0,0,3.946705438,10.87402772,0,9.544939912,1
clean_p_60.jpg,20.12076772,0,0,0,1.838546778,15.12329179,0,14.76667822,1
clean_p_61.jpg,30.56361468,4.651405564,0,0,0,14.33049256,0.840896415,14.74554766,1
clean_p_62.jpg,7.944874043,0,0,0,0,11.60683412,0,16.72436106,1
clean_p_63.jpg,54.97968209,4.188918612,0,0,5.068945247,11.40123601,0,8.840123249,1
clean_p_64.jpg,58.95561433,3.058423585,0,0,0,8.26598434,0,9.956108554,1
clean_p_65.jpg,7.573884558,0,0,0,0,13.28447091,1.822579811,11.72113272,1
clean_p_66.jpg,6.969507536,0,0,0,0,12.11357715,0,18.53664009,1
clean_p_67.jpg,26.15267124,5.079026213,0,0,1.534185126,15.0883815,0,11.35285347,1
clean_p_68.jpg,37.86795575,3.657709242,0,0,0.716534105,15.09770944,0,9.259578461,1
clean_p_69.jpg,16.09869455,5.457184851,0,0,0,12.74831869,0,17.60296583,1
clean_p_70.jpg,13.58190089,4.039533499,0,0,0,17.10332204,0,16.38551498,1
clean_p_71.jpg,33.26833254,0,0,0,5.352155003,13.6568329,0,11.44256738,1
clean_p_72.jpg,26.33067684,3.043119927,0,0,0,10.73249467,0,11.88903347,1
clean_p_73.jpg,7.076214573,0,0,0,0,3.41211076,0,15.78011303,1
clean_p_74.jpg,7.096991636,0,0,0,0,24.1198673,0,14.59384501,1
clean_p_75.jpg,7.409307514,0,0,0,0,7.906149265,0,11.0608507,1
clean_p_76.jpg,20.5265375,3.016822673,0,0,3.856312177,15.19126388,0,11.70388238,1
clean_p_77.jpg,23.28283714,0.840896415,0,0,4.477682213,15.86394918,0,13.75531073,1
clean_p_78.jpg,6.774653947,0,0,0,0,6.674057184,0,13.25410759,1
clean_p_79.jpg,47.81844655,0,0,0,3.509280695,12.47937563,0,9.157251669,1
clean_p_80.jpg,18.92467085,4.313316051,0,0,0,6.916307838,0,14.26482555,1
clean_p_81.jpg,27.1728435,3.564794057,0,0,1.519671371,19.75931432,0,16.73304321,1
clean_p_82.jpg,42.13174398,6.376583376,0,0,4.187149019,12.02354436,0,11.09194666,1
clean_p_83.jpg,18.25704952,0,0,0,2.026228495,16.63730542,2.522689246,16.74437647,1
clean_p_84.jpg,7.429886644,6.016211826,0,0,0,12.0442111,0,10.95512249,1
clean_p_85.jpg,54.95703219,4.579159582,0,0,6.574918336,9.733296265,0,10.62656252,1
clean_p_86.jpg,22.87294887,3.990040439,0,0,0,4.920047683,0,11.79439421,1
clean_p_87.jpg,8.002320032,4.328611301,0,0,0,10.16089932,0,12.66018914,1
clean_p_88.jpg,40.80938215,3.483882761,0,0,0,9.665397399,0,10.93850218,1
clean_p_89.jpg,32.33736166,0,0,0,7.314320137,16.25204115,0,8.591349933,1
clean_p_90.jpg,19.6901889,0,0,0,4.117527497,15.90683128,0,9.875283917,1
clean_p_91.jpg,8.6006053,0,0,0,9.371819353,22.06197512,7.14761953,17.99681697,1
clean_p_92.jpg,29.65593892,1.261344623,0,0,5.081999341,14.17131609,0,9.152440549,1
clean_p_93.jpg,22.57911354,0,0,0,4.222671716,14.76563747,0,8.891189718,1
clean_p_94.jpg,14.47661147,5.010034201,0,0,0,15.07381873,0,11.51506993,1
clean_p_95.jpg,7.865724361,0,0,0,0,11.45721053,3.613608052,13.94533004,1
clean_p_96.jpg,27.15382251,0,0,0,11.64217249,17.7375441,5.518076408,12.06027888,1
clean_p_97.jpg,17.91141723,0,0,0,0,13.68766458,0,16.9249804,1
clean_p_98.jpg,29.02202786,3.484529496,0,0,3.496745532,12.45182729,0,10.18375806,1
clean_p_99.jpg,48.35565426,1.793218004,0,0,7.004475017,14.18859766,0,9.177514762,1
