filename,bmean_bins0,bmean_bins1,bmean_bins2,bmean_bins3,bmean_bins4,bmean_bins5,bmean_bins6,bmean_bins7,class
transformed_image_normal_1.png,80.87615939539677,170.2664907651715,0,201.86440309065188,9.910799013095463,0,58.43555067196348,179.90591827831904,1
transformed_image_normal_2.png,79.90608695652173,161.0498384078925,0,200.94051225557698,2.6932552200691,0,57.05768321513003,189.36865954281078,1
transformed_image_normal_3.png,88.01218068008797,171.28711860079153,0,226.86060941828254,4.127548391845146,0,49.695673369896404,202.62494293106073,1
transformed_image_normal_4.png,89.35794655414908,171.4260393167902,0,203.67867128956493,4.291722424010706,0,55.812607866291216,197.26355865239566,1
transformed_image_normal_5.png,78.7216849696771,159.53773199247814,0,210.16465197894325,1.6543218219909441,0,53.53912475506205,188.64578446253623,1
transformed_image_normal_6.png,85.82985934587359,161.78902328643133,0,190.58812193412754,1.891743119266055,0,66.02122905027933,188.22967442428686,1
transformed_image_normal_7.png,44.35121002067372,148.8892916321458,0,199.5706956956957,0.10303234501347709,0,46.58407824166579,177.98700705144947,1
transformed_image_normal_8.png,83.50843143493478,163.2701873935264,0,208.44527851232618,3.3810505366408417,0,58.39156006469637,192.02668096802307,1
transformed_image_normal_9.png,75.42933914306464,156.88777655420964,96.5,193.89325570111598,2.4857907054496824,0,51.45616438356164,183.39142857142858,1
transformed_image_normal_10.png,61.734433285509326,150.50668434427135,0,197.06066586579715,0.2960616225618089,0,56.501086619062406,184.43841785784218,1
transformed_image_normal_11.png,95.0010058916511,174.1224,0,222.32143596110078,8.186277732128184,0,61.06101274388181,197.547071617213,1
transformed_image_normal_12.png,76.00518518518518,155.59047012628673,0,194.74878136847806,3.423795139365646,0,51.05459940652819,185.2404864652805,1
transformed_image_normal_13.png,102.93467034946559,179.38002082713479,116.33333333333333,217.6574113265047,22.62741433021807,0,65.22441486920606,199.65000367565978,1
transformed_image_normal_14.png,90.86110705418432,170.25956738768718,117.0,213.24397895162923,6.313506909979385,0,58.47526673132881,193.11125502760925,1
