rskew_bins0,rskew_bins1,rskew_bins2,rskew_bins3,rskew_bins4,rskew_bins5,rskew_bins6,rskew_bins7,class,
clean_p_1.jpg,23.97606006,2.12693517,0,0,0,6.508755278,0,5.618680873,1
clean_p_2.jpg,1.034653068,0,0,0,0,10.85841188,0,7.816621511,1
clean_p_3.jpg,21.61161972,0,0,0,4.211365587,13.66963596,0,6.495328382,1
clean_p_4.jpg,0.998024711,2.5198421,0,0,0,10.60870179,0,7.21394359,1
clean_p_5.jpg,0.999356559,0,0,0,0,0,0,6.315571968,1
clean_p_6.jpg,1.07131089,3.907470343,0,0,0,6.539141502,0,8.046514511,1
clean_p_7.jpg,6.052024995,0,0,0,3.257986519,7.861342675,0,6.462821229,1
clean_p_8.jpg,0.986910966,0,0,0,2.777951841,8.521385581,0,7.07151682,1
clean_p_9.jpg,17.00108968,2.344379849,0,0,0,6.087495672,0,5.759590957,1
clean_p_10.jpg,0.979886085,1.190550789,0,0,0,9.660119391,0,7.279577453,1
clean_p_11.jpg,7.525476696,2.098955018,0,0,0,7.834762386,0,8.006135063,1
clean_p_12.jpg,1.032665974,0,0,0,0,6.780464765,0,7.022197671,1
clean_p_13.jpg,8.156806119,1.789698549,0,0,0,4.905021,0,6.084861245,1
clean_p_14.jpg,1.015180315,0,0,0,0,11.22427582,0,7.718585387,1
clean_p_15.jpg,1.031243472,0,0,0,0,0,0,5.949759362,1
clean_p_16.jpg,1.102462024,1.473512272,0,0,0,9.193737643,0,6.370682991,1
clean_p_17.jpg,5.046183697,3.327392123,0,0,0,17.42229814,0,8.621757609,1
clean_p_18.jpg,0.97828203,0,0,0,0,11.29554926,0,6.905521487,1
clean_p_19.jpg,0.847055564,0,0,0,0,7.995479038,0,7.02740251,1
clean_p_20.jpg,8.245605988,2.300389803,0,0,0,11.66311047,0,6.252230018,1
clean_p_21.jpg,8.463642961,0,0,0,1.98314462,10.89842224,0,6.339672817,1
clean_p_22.jpg,7.356076409,1.475932227,0,0,5.33315331,15.46398314,0,7.934622438,1
clean_p_23.jpg,8.584900981,5.360582692,0,0,0,0.46224085,0,8.906732231,1
clean_p_24.jpg,1.107999183,0,0,0,0,8.451617749,0,7.045633704,1
clean_p_25.jpg,1.06517166,0,0,0,0,0.804350813,0,6.940814173,1
clean_p_26.jpg,1.147743462,0,0,0,0,7.380987167,0,6.765782012,1
clean_p_27.jpg,1.185510566,0,0,0,0,7.252028546,4.762203156,9.930683232,1
clean_p_28.jpg,0.929946099,0,0,0,0,7.260218594,0,6.758590972,1
clean_p_29.jpg,17.75944369,1.055027817,0,0,6.966748412,11.72106544,0,8.804943898,1
clean_p_30.jpg,0.936085194,0,0,0,0,6.199974785,0,6.123217795,1
